latitude,longitude,bathrooms,bedrooms,floorAreaSqM,livingRooms,distance_to_tube,distance_to_bus,no_of_bus_1km,saleEstimate_currentPrice
51.4617544,-0.1955157,2.0,2.0,70.0,1.0,1.762259,1.109640,0,603000.0
51.5199244,-0.1508247,1.0,2.0,72.0,1.0,0.584532,0.486042,8,612000.0
51.4618171,-0.0173627,1.0,3.0,122.0,1.0,0.474567,0.474567,2,710000.0
51.4246716,-0.1724314,1.0,2.0,117.0,1.0,0.966725,0.461226,3,667000.0
51.6001372,-0.2005468,1.0,1.0,47.0,1.0,3.460707,0.555349,1,428000.0
51.4045511,-0.0747088,1.0,2.0,69.0,1.0,0.825634,0.825634,1,349000.0
51.4973345,-0.0390023,2.0,3.0,60.0,1.0,0.753414,0.753414,3,727000.0
51.4959736,-0.1285133,2.0,2.0,82.0,1.0,0.991099,0.530867,4,901000.0
51.4910471,-0.142184,1.0,1.0,54.0,1.0,0.642075,0.573806,3,741000.0
51.5964328,-0.0239656,2.0,4.0,102.0,1.0,1.549111,1.549111,0,722000.0
51.5379517,-0.1432299,2.0,2.0,119.0,1.0,0.529310,0.164467,4,1165000.0
51.4613336,-0.1718482,2.0,2.0,91.0,1.0,0.397355,0.397355,1,741000.0
51.5308835,-0.0195519,1.0,2.0,60.0,1.0,0.364614,0.364614,3,408000.0
51.4756382,-0.0200126,1.0,1.0,57.0,1.0,0.220371,0.220371,5,418000.0
51.4766394,0.0256757,1.0,3.0,96.0,1.0,0.999835,0.999835,1,664000.0
51.4405626,-0.083035,1.0,2.0,63.0,1.0,1.520032,1.520032,0,784000.0
51.6080264,-0.091443,1.0,4.0,109.0,1.0,1.456824,1.456824,0,604000.0
51.4610441,-0.0168492,1.0,3.0,114.0,2.0,0.532516,0.532516,2,721000.0
51.5098757,-0.2442124,2.0,5.0,208.0,1.0,1.325660,0.777745,1,1498000.0
51.5521398,0.059927,1.0,3.0,139.0,3.0,0.919884,0.919884,1,538000.0
51.6282618,-0.0993347,1.0,2.0,66.0,1.0,2.557278,2.016198,0,470000.0
51.5255834,-0.1635843,2.0,2.0,65.0,1.0,0.275786,0.275786,4,804000.0
51.5662195,-0.0054346,1.0,3.0,112.0,1.0,0.427885,0.427885,2,852000.0
51.4839861,-0.1718244,1.0,1.0,40.0,1.0,1.220410,1.117719,0,510000.0
51.5795233,-0.0130793,2.0,4.0,163.0,2.0,0.576800,0.576800,1,1183000.0
51.4847381,-0.1181709,1.0,2.0,70.0,1.0,2.030730,0.481547,4,508000.0
51.5892579,-0.0568752,2.0,2.0,89.0,1.0,0.345556,0.345556,1,465000.0
51.4991813,-0.1003729,1.0,1.0,58.0,1.0,0.961429,0.460000,5,456000.0
51.4519452,0.0052529,2.0,2.0,80.0,1.0,1.985168,1.985168,0,481000.0
51.4805282,0.0748124,1.0,3.0,123.0,2.0,1.150392,1.150392,0,641000.0
51.4635351,0.0572729,1.0,2.0,54.0,1.0,3.077289,3.077289,0,297000.0
51.4721724,-0.1365716,1.0,2.0,50.0,1.0,0.288556,0.288556,4,430000.0
51.4863339,-0.2568172,1.0,3.0,114.0,2.0,1.417421,0.989324,1,980000.0
51.4508279,-0.0750778,1.0,2.0,74.0,1.0,1.898392,1.898392,0,553000.0
51.6193865,-0.1088069,2.0,4.0,160.0,1.0,2.444220,1.715044,0,862000.0
51.5186998,-0.3130443,2.0,4.0,196.0,2.0,0.866882,0.866882,2,985000.0
51.5359722,-0.1620124,1.0,3.0,197.0,1.0,1.306140,0.841193,1,2466000.0
51.5446838,0.0107857,2.0,3.0,115.0,1.0,0.375009,0.375009,1,575000.0
51.5829161,-0.1045329,2.0,4.0,168.0,1.0,0.773962,0.773962,2,1266000.0
51.5049464,-0.243523,1.0,2.0,66.0,1.0,1.423115,1.129402,0,382000.0
51.5445271,-0.0362518,1.0,2.0,75.0,1.0,0.517164,0.823038,1,683000.0
51.5337567,-0.1658217,1.0,2.0,97.0,1.0,1.197688,0.568457,1,1261000.0
51.441699,-0.0220904,1.0,4.0,74.0,1.0,0.421385,1.809377,0,408000.0
51.5986204,-0.0203764,2.0,4.0,86.0,1.0,1.725252,1.725252,0,816000.0
51.6152718,-0.1394263,1.0,2.0,83.0,1.0,0.288631,0.288631,2,490000.0
51.5563993,-0.1434594,1.0,2.0,83.0,1.0,0.536408,0.350301,3,451000.0
51.5198868,-0.0967436,2.0,3.0,155.0,1.0,0.545255,0.186641,7,1578000.0
51.5256939,-0.1810666,2.0,2.0,108.0,1.0,1.125528,0.329396,3,1678000.0
51.4343973,-0.123822,3.0,4.0,227.0,3.0,1.103630,1.103630,0,1100000.0
51.4604723,-0.131448,1.0,2.0,53.0,1.0,0.562211,0.442608,2,459000.0
51.6368572,-0.1429557,1.0,3.0,120.0,2.0,1.600076,1.163050,0,822000.0
51.5471335,-0.1598029,1.0,2.0,76.0,1.0,0.898605,0.493799,3,729000.0
51.6293713,-0.1606207,1.0,4.0,122.0,2.0,0.987013,0.987013,1,668000.0
51.5969804,-0.0111344,1.0,2.0,81.0,1.0,1.285806,1.285806,0,576000.0
51.5227218,-0.1411973,2.0,2.0,38.0,1.0,0.869721,0.215033,7,726000.0
51.4386868,0.0721276,1.0,2.0,80.0,1.0,4.684395,4.684395,0,464000.0
51.554466,-0.0864141,2.0,4.0,167.0,1.0,0.793100,0.793100,2,1725000.0
51.6187825,-0.0087516,1.0,2.0,77.0,1.0,1.322793,1.322793,0,508000.0
51.490284,-0.0528979,1.0,2.0,62.0,1.0,0.490176,0.490176,2,418000.0
51.4975824,-0.0803789,2.0,2.0,85.0,1.0,0.905143,0.905143,2,764000.0
51.4824267,-0.1785262,4.0,3.0,86.0,1.0,0.822227,0.822227,1,705000.0
51.5443599,-0.1919461,1.0,2.0,67.0,1.0,0.321699,0.260527,7,479000.0
51.4000437,-0.2303266,2.0,3.0,127.0,2.0,1.533299,1.533299,0,903000.0
51.4225451,-0.1447464,1.0,4.0,155.0,2.0,0.984147,0.984147,1,990000.0
51.4878976,0.0089908,1.0,3.0,104.0,1.0,0.709214,0.746621,1,535000.0
51.6211001,-0.1592405,3.0,5.0,170.0,2.0,1.352616,1.352616,0,1113000.0
51.4459244,0.0409674,2.0,2.0,88.0,1.0,4.356723,4.356723,0,434000.0
51.5078691,-0.1048351,2.0,2.0,53.0,1.0,0.373289,0.373289,8,904000.0
51.5483967,-0.0612979,1.0,1.0,52.0,1.0,0.054849,0.054849,3,477000.0
51.4748417,-0.2491148,2.0,2.0,99.0,1.0,2.486388,2.246653,0,781000.0
51.4900108,-0.2578913,1.0,2.0,112.0,1.0,1.236488,0.613147,3,1122000.0
51.4173298,-0.0740115,1.0,2.0,68.0,1.0,0.139748,0.139748,3,348000.0
51.5761693,-0.0691232,1.0,3.0,108.0,2.0,0.495523,0.495523,3,853000.0
51.4902444,-0.032882,1.0,2.0,56.0,1.0,1.087536,1.087536,0,400000.0
